time,bearing_temperature,motor_current,vibration,rpm,lubrication_pressure
0,65,224,2.4,1474,3.45
3,65,224,2.4,1474,3.45
6,65,225,2.4,1474,3.43
9,66,225,2.6,1473,3.43
12,66,225,2.5,1474,3.44
15,66,226,2.5,1473,3.43
18,67,226,2.6,1472,3.42
21,67,226,2.6,1473,3.42
24,66,226,2.5,1473,3.42
27,66,227,2.6,1472,3.42
30,67,226,2.6,1473,3.41
33,68,228,2.7,1472,3.4
36,67,227,2.6,1473,3.41
39,67,227,2.6,1472,3.41
42,68,228,2.8,1471,3.39
45,67,228,2.7,1472,3.4
48,67,228,2.7,1472,3.4
51,69,229,2.8,1471,3.38
54,69,228,2.8,1472,3.38
57,68,230,2.8,1471,3.39
60,68,229,2.8,1472,3.38
63,68,229,2.8,1472,3.37
66,69,230,2.9,1470,3.37
69,69,229,2.8,1471,3.37
72,69,230,2.8,1471,3.37
75,70,231,3.0,1470,3.36
78,69,230,2.9,1471,3.36
81,69,230,2.9,1471,3.36
84,70,232,3.0,1470,3.35
87,69,231,2.9,1471,3.35
90,70,232,3.0,1469,3.34
93,71,231,3.1,1470,3.34
96,70,232,3.0,1470,3.34
99,70,233,3.0,1469,3.33
102,71,232,3.1,1470,3.33
105,71,232,3.2,1470,3.32
108,70,234,3.1,1469,3.33
111,71,233,3.1,1470,3.32
114,71,233,3.1,1469,3.32
117,72,234,3.2,1468,3.31
120,71,233,3.1,1469,3.31
123,71,234,3.2,1469,3.31
126,72,235,3.3,1468,3.3
129,72,234,3.2,1469,3.3
132,72,234,3.2,1469,3.3
135,73,236,3.3,1468,3.29
138,72,235,3.3,1469,3.29
141,72,235,3.3,1468,3.29
144,73,236,3.4,1467,3.28
147,72,236,3.3,1468,3.28
150,73,236,3.3,1468,3.28
153,74,237,3.5,1467,3.27
156,73,236,3.4,1468,3.27
159,73,237,3.4,1468,3.27
162,74,238,3.5,1467,3.26
165,73,237,3.4,1467,3.26
168,74,237,3.4,1467,3.26
171,75,239,3.6,1466,3.25
174,74,238,3.5,1467,3.25
177,74,238,3.5,1467,3.25
